,label,path,height,width,x1,y1,x2,y2
395,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\452.png,42,37,102,91,139,133
396,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\453.png,47,43,151,301,194,348
397,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\454.png,31,40,141,174,181,205
398,pass_on_right,cropped_ds\pass_on_right\455.png,31,30,408,239,438,270
399,turn_left_or_right_only,cropped_ds\turn_left_or_right_only\456.png,21,17,563,222,580,243
400,pedestrian,cropped_ds\pedestrian\457.png,14,13,555,201,568,215
401,no_left_turn,cropped_ds\no_left_turn\458.png,17,18,552,184,570,201
402,yield,cropped_ds\yield\459.png,19,23,549,164,572,183
403,other,cropped_ds\other\460.png,23,20,338,226,358,249
404,cycleway,cropped_ds\cycleway\461.png,425,269,1146,1369,1415,1794
405,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\462.png,442,324,746,983,1070,1425
406,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\463.png,77,102,5,175,107,252
407,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\464.png,54,66,352,197,418,251
408,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\465.png,21,19,70,138,89,159
409,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\466.png,20,19,449,123,468,143
410,other,cropped_ds\other\467.png,20,19,522,92,541,112
411,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\468.png,57,70,72,254,142,311
412,other,cropped_ds\other\469.png,42,52,75,306,127,348
413,no_entry_for_vehicles(both_directions),cropped_ds\no_entry_for_vehicles(both_directions)\470.png,21,24,771,305,795,326
414,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\471.png,457,439,1110,934,1549,1391
415,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\473.png,682,661,836,913,1497,1595
416,other,cropped_ds\other\475.png,713,913,488,1221,1401,1934
417,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\476.png,1235,1179,388,165,1567,1400
418,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\477.png,1417,922,736,291,1658,1708
419,other,cropped_ds\other\478.png,913,813,727,1443,1540,2356
420,other,cropped_ds\other\479.png,1200,613,780,1360,1393,2560
421,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\480.png,1765,696,810,39,1506,1804
422,cycleway,cropped_ds\cycleway\483.png,441,290,1070,856,1360,1297
423,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\484.png,494,307,673,438,980,932
424,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\486.png,1339,2309,271,526,2580,1865
425,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\487.png,1648,2678,93,269,2771,1917
426,other,cropped_ds\other\488.png,1753,2983,23,1886,3006,3639
427,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\489.png,113,89,1448,1203,1537,1316
428,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\490.png,108,100,1536,1243,1636,1351
429,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\491.png,159,153,1444,1287,1597,1446
430,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\492.png,202,194,1683,1425,1877,1627
431,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\493.png,267,250,1371,1170,1621,1437
432,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\494.png,381,349,1293,763,1642,1144
433,other,cropped_ds\other\495.png,183,245,1336,1112,1581,1295
434,other,cropped_ds\other\496.png,296,413,971,1073,1384,1369
435,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\497.png,518,526,923,621,1449,1139
436,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\498.png,230,239,1284,1313,1523,1543
437,cycleway,cropped_ds\cycleway\499.png,73,64,383,45,447,118
438,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\500.png,266,208,1519,1147,1727,1413
439,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\501.png,269,261,1475,1717,1736,1986
440,other,cropped_ds\other\503.png,274,456,1267,2108,1723,2382
441,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\504.png,513,591,1193,1621,1784,2134
442,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\505.png,739,796,627,626,1423,1365
443,other,cropped_ds\other\507.png,700,1017,910,1508,1927,2208
444,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\508.png,896,1026,945,669,1971,1565
445,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\509.png,214,148,1185,1386,1333,1600
446,cycleway,cropped_ds\cycleway\510.png,207,116,1372,1565,1488,1772
447,cycleway,cropped_ds\cycleway\511.png,421,304,1118,1373,1422,1794
448,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\512.png,445,297,756,997,1053,1442
449,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\513.png,479,331,660,435,991,914
450,cycleway,cropped_ds\cycleway\514.png,462,310,1053,832,1363,1294
451,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\515.png,12,15,128,163,143,175
452,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\516.png,13,16,295,165,311,178
453,turn_left_ahead,cropped_ds\turn_left_ahead\517.png,13,13,280,189,293,202
454,other,cropped_ds\other\518.png,24,23,5,184,28,208
455,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\519.png,82,37,117,67,154,149
456,other,cropped_ds\other\522.png,36,22,355,65,377,101
457,cycleway,cropped_ds\cycleway\523.png,77,53,107,161,160,238
458,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\524.png,50,55,133,104,188,154
459,other,cropped_ds\other\525.png,67,44,394,154,438,221
460,other,cropped_ds\other\526.png,34,46,394,51,440,85
461,other,cropped_ds\other\527.png,18,22,23,118,45,136
462,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\528.png,39,41,291,133,332,172
463,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\530.png,23,24,373,127,397,150
464,pass_on_right,cropped_ds\pass_on_right\531.png,20,21,530,170,551,190
465,pedestrian,cropped_ds\pedestrian\532.png,13,14,625,140,639,153
466,no_left_turn,cropped_ds\no_left_turn\533.png,16,17,623,126,640,142
467,yield,cropped_ds\yield\534.png,15,21,621,110,642,125
468,turn_left_or_right_only,cropped_ds\turn_left_or_right_only\535.png,19,16,632,157,648,176
469,pass_on_right,cropped_ds\pass_on_right\536.png,13,10,648,163,658,176
470,no_entry_for_vehicles(both_directions),cropped_ds\no_entry_for_vehicles(both_directions)\537.png,269,302,1014,1145,1316,1414
471,other,cropped_ds\other\538.png,198,198,1064,1405,1262,1603
472,yield,cropped_ds\yield\539.png,58,54,22,13,76,71
473,no_left_turn,cropped_ds\no_left_turn\540.png,51,48,27,67,75,118
474,turn_left_or_right_only,cropped_ds\turn_left_or_right_only\542.png,54,47,59,171,106,225
475,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\544.png,33,37,143,172,180,205
476,pass_on_right,cropped_ds\pass_on_right\545.png,30,28,408,239,436,269
477,pedestrian,cropped_ds\pedestrian\547.png,14,14,554,201,568,215
478,no_left_turn,cropped_ds\no_left_turn\548.png,16,17,552,184,569,200
479,yield,cropped_ds\yield\549.png,18,20,551,165,571,183
480,no_motor_vehicles,cropped_ds\no_motor_vehicles\553.png,1573,1578,549,526,2127,2099
481,yield,cropped_ds\yield\554.png,46,73,549,229,622,275
482,no_right_turn,cropped_ds\no_right_turn\555.png,49,77,554,275,631,324
483,no_right_turn,cropped_ds\no_right_turn\556.png,24,35,324,259,359,283
484,yield,cropped_ds\yield\557.png,22,31,324,237,355,259
485,other,cropped_ds\other\558.png,33,52,411,236,463,269
486,cycleway,cropped_ds\cycleway\559.png,32,35,61,85,96,117
487,other,cropped_ds\other\560.png,25,24,574,230,598,255
488,no_right_turn,cropped_ds\no_right_turn\561.png,26,28,525,219,553,245
489,priority_road,cropped_ds\priority_road\562.png,22,23,528,198,551,220
490,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\563.png,59,66,380,273,446,332
491,other,cropped_ds\other\564.png,52,27,640,199,667,251
492,other,cropped_ds\other\565.png,22,23,566,272,589,294
493,other,cropped_ds\other\566.png,15,14,522,297,536,312
494,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\567.png,32,30,282,161,312,193
495,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\568.png,8,8,251,194,259,202
496,yield,cropped_ds\yield\569.png,11,10,317,191,327,202
497,other,cropped_ds\other\570.png,30,28,21,172,49,202
498,other,cropped_ds\other\571.png,34,36,16,141,52,175
499,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\572.png,63,95,98,158,193,221
500,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\573.png,78,71,1281,100,1352,178
501,yield,cropped_ds\yield\574.png,19,30,211,210,241,229
502,other,cropped_ds\other\575.png,28,31,1175,112,1206,140
503,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\576.png,50,60,578,194,638,244
504,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\577.png,21,22,156,216,178,237
505,yield,cropped_ds\yield\578.png,40,42,560,133,602,173
506,no_right_turn,cropped_ds\no_right_turn\580.png,74,76,308,146,384,220
507,priority_road,cropped_ds\priority_road\581.png,70,77,306,79,383,149
508,no_stopping,cropped_ds\no_stopping\583.png,50,57,81,88,138,138
509,no_stopping,cropped_ds\no_stopping\584.png,38,41,60,60,101,98
510,no_stopping,cropped_ds\no_stopping\585.png,24,20,70,52,90,76
511,endof_pedestrian_zone,cropped_ds\endof_pedestrian_zone\586.png,187,249,8,182,257,369
512,one_way_street,cropped_ds\one_way_street\587.png,11,10,692,174,702,185
513,parking,cropped_ds\parking\588.png,12,10,692,185,702,197
514,no_stopping,cropped_ds\no_stopping\589.png,64,68,544,292,612,356
515,parking,cropped_ds\parking\590.png,47,50,326,192,376,239
516,other,cropped_ds\other\591.png,34,43,335,236,378,270
517,no_stopping,cropped_ds\no_stopping\592.png,189,203,71,21,274,210
518,no_stopping,cropped_ds\no_stopping\593.png,64,64,297,339,361,403
519,parking,cropped_ds\parking\594.png,67,66,76,216,142,283
520,other,cropped_ds\other\595.png,50,70,65,273,135,323
521,other,cropped_ds\other\596.png,54,45,507,242,552,296
522,other,cropped_ds\other\597.png,28,56,523,214,579,242
523,other,cropped_ds\other\598.png,36,122,77,376,199,412
524,other,cropped_ds\other\599.png,29,40,302,399,342,428
525,no_stopping,cropped_ds\no_stopping\600.png,28,29,245,123,274,151
526,other,cropped_ds\other\601.png,31,25,248,147,273,178
527,other,cropped_ds\other\602.png,13,24,234,121,258,134
528,other,cropped_ds\other\603.png,22,31,425,119,456,141
529,no_stopping,cropped_ds\no_stopping\604.png,35,44,421,147,465,182
530,parking,cropped_ds\parking\605.png,36,32,421,86,453,122
531,parking,cropped_ds\parking\606.png,14,18,289,124,307,138
532,turn_right_ahead,cropped_ds\turn_right_ahead\607.png,14,17,196,126,213,140
533,yield,cropped_ds\yield\608.png,13,19,193,113,212,126
534,no_stopping,cropped_ds\no_stopping\609.png,56,47,403,239,450,295
535,parking,cropped_ds\parking\610.png,23,16,214,183,230,206
536,parking,cropped_ds\parking\611.png,13,11,74,202,85,215
537,no_stopping,cropped_ds\no_stopping\612.png,16,12,71,224,83,240
538,yield,cropped_ds\yield\613.png,9,10,4,207,14,216
539,no_stopping,cropped_ds\no_stopping\615.png,64,80,433,207,513,271
540,other,cropped_ds\other\617.png,44,35,295,273,330,317
541,other,cropped_ds\other\618.png,33,41,202,181,243,214
542,no_stopping,cropped_ds\no_stopping\619.png,35,44,195,148,239,183
543,no_stopping,cropped_ds\no_stopping\620.png,79,82,460,288,542,367
544,no_stopping,cropped_ds\no_stopping\621.png,37,37,134,271,171,308
545,parking,cropped_ds\parking\622.png,50,42,385,178,427,228
546,parking,cropped_ds\parking\623.png,30,30,151,211,181,241
547,parking,cropped_ds\parking\624.png,17,21,82,247,103,264
548,other,cropped_ds\other\625.png,31,29,430,197,459,228
549,other,cropped_ds\other\626.png,36,36,386,230,422,266
550,other,cropped_ds\other\628.png,24,30,153,243,183,267
551,endof_pedestrian_zone,cropped_ds\endof_pedestrian_zone\630.png,37,32,91,138,123,175
552,no_stopping,cropped_ds\no_stopping\635.png,17,16,566,234,582,251
553,other,cropped_ds\other\636.png,16,12,544,245,556,261
554,no_stopping,cropped_ds\no_stopping\638.png,84,83,973,223,1056,307
555,other,cropped_ds\other\639.png,66,63,1011,14,1074,80
556,no_right_turn,cropped_ds\no_right_turn\640.png,26,23,551,261,574,287
557,priority_road,cropped_ds\priority_road\641.png,23,26,549,239,575,262
558,other,cropped_ds\other\642.png,24,24,596,273,620,297
559,no_stopping,cropped_ds\no_stopping\643.png,65,60,402,181,462,246
560,no_stopping,cropped_ds\no_stopping\644.png,26,24,63,204,87,230
561,no_stopping,cropped_ds\no_stopping\645.png,53,55,75,218,130,271
562,other,cropped_ds\other\646.png,48,52,77,270,129,318
563,other,cropped_ds\other\648.png,11,12,198,201,210,212
564,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\649.png,18,14,198,183,212,201
565,no_stopping,cropped_ds\no_stopping\650.png,31,32,260,202,292,233
566,no_stopping,cropped_ds\no_stopping\651.png,135,106,195,346,301,481
567,no_stopping,cropped_ds\no_stopping\652.png,36,44,573,135,617,171
568,priority_road,cropped_ds\priority_road\655.png,18,24,402,176,426,194
569,endof_pedestrian_zone,cropped_ds\endof_pedestrian_zone\657.png,1626,1260,1080,1943,2340,3569
